Project,Graphic_Files
1127050148/SitiNurpadilah_1127050148_IF5G_TugasMandiri_VendingMachine/,"['Activity Diagram Vending Machine.uml', 'State Diagram Vending MAchine.uml', 'State Diagram Vending Machine Choose.uml']"
12010994/TAA-TP3/,['char.uml']
12520054/etn-contra-game/,"['2.png', 'Untitled-1.png', 'boss3_bullet.png', 'fire.png', 'lazer.png', 'medal.png', 'tile_map_2 - Copy.png']"
188383/mydjango/,['class diagram.svg']
1987cr/Duckface/,['Class Diagram.png']
267497/projektNaZal/,"['DiagramCzynnosci.jpg', 'DiagramKlas.jpg', 'DiagramPakietow.jpg', 'DiagramStanu.jpg', 'DiagramWdrozenia.jpg', 'DiagramyUzyciaAdministrator.jpg', 'DiagramyUzyciaSprzedawca.jpg', 'DiagramyuzyciaKlient.jpg', 'NajnowszyDiagramKlas.jpg', 'Sekwencja1.jpg', 'Sekwencja2.jpg', 'Sekwencja3.jpg', 'reklamacje.jpg']"
365day/365day.github.io/,['favicon.png']
4dnucleome/cog-abm/,"['AgentClassDiagram.png', 'SimulationClassDiagram.png']"
4nu81/examen/,"['Class Diagram.jpg', 'Class Diagram.png', 'Class Diagramh.png', 'Nim-Spiel.jpg']"
502BadGateway/New_Wizards/,"['map1.png', 'map1.png.png']"
5730192821-NM/Project_Zombie/,['ProjectUML.png']
5730447921-PW/Project/,['UML.jpg']
5730541121-WW/Project-Slaughter/,['ClassUML.png']
5731047721-TK/ProgMethProject/,['DragonHeartDiagram.png']
5731076921-PC/BJ_Project/,"['Class Plan.jpg', 'Screen Plan.jpg', 'ScreenWireFrame.jpg', 'UML-entity.jpg', 'UML-render,ui,exception,utility.jpg', 'UML1.jpg', 'UML2.jpg']"
5731078121-PT/ProgMeth_Project_BF/,['uml.png']
5731078121-PT/Project-New-New-/,"['package_logic.png', 'uml.png']"
5731109021-ST/Progmeth-Project/,"['AllUMLWithData.png', 'AllUMLWithoutData.png', 'LogicUML.png', 'LogicUMLWithData.png']"
7kings/TicTacToe/,['10751798_10153287534583508_105574170_n.jpg']
